Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000
8,2023-02-22,CUST008,Male,30,Electronics,4,25,100
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500
41,2023-02-22,CUST041,Male,34,Clothing,2,25,50
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25
54,2023-02-10,CUST054,Female,38,Electronics,3,500,1500
63,2023-02-05,CUST063,Male,57,Electronics,2,25,50
68,2023-02-10,CUST068,Male,25,Electronics,1,300,300
70,2023-02-21,CUST070,Female,43,Clothing,1,300,300
85,2023-02-06,CUST085,Male,31,Clothing,3,50,150
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200
133,2023-02-16,CUST133,Male,20,Electronics,3,300,900
135,2023-02-26,CUST135,Male,20,Clothing,2,25,50
142,2023-02-02,CUST142,Male,35,Electronics,4,300,1200
152,2023-02-28,CUST152,Male,43,Electronics,4,500,2000
158,2023-02-27,CUST158,Female,44,Electronics,2,300,600
168,2023-02-24,CUST168,Male,53,Clothing,1,300,300
185,2023-02-27,CUST185,Male,24,Clothing,1,25,25
192,2023-02-10,CUST192,Male,62,Beauty,2,50,100
193,2023-02-13,CUST193,Male,35,Beauty,3,500,1500
195,2023-02-05,CUST195,Male,52,Clothing,1,30,30
223,2023-02-02,CUST223,Female,64,Clothing,1,25,25
232,2023-02-06,CUST232,Female,43,Beauty,1,25,25
237,2023-02-04,CUST237,Female,50,Beauty,2,500,1000
240,2023-02-06,CUST240,Female,23,Beauty,1,300,300
256,2023-02-18,CUST256,Male,23,Clothing,2,500,1000
257,2023-02-19,CUST257,Male,19,Beauty,4,500,2000
268,2023-02-20,CUST268,Female,28,Electronics,1,30,30
269,2023-02-01,CUST269,Male,25,Clothing,4,500,2000
272,2023-02-25,CUST272,Female,61,Electronics,2,50,100
284,2023-02-08,CUST284,Male,43,Clothing,4,50,200
287,2023-02-20,CUST287,Male,54,Clothing,4,25,100
292,2023-02-17,CUST292,Male,20,Beauty,4,300,1200
320,2023-02-01,CUST320,Female,28,Electronics,4,300,1200
331,2023-02-11,CUST331,Male,28,Electronics,3,30,90
333,2023-02-05,CUST333,Female,54,Electronics,4,300,1200
335,2023-02-04,CUST335,Female,47,Beauty,4,30,120
346,2023-02-11,CUST346,Male,59,Clothing,2,500,1000
366,2023-02-07,CUST366,Male,57,Clothing,2,50,100
371,2023-02-21,CUST371,Female,20,Beauty,1,25,25
372,2023-02-07,CUST372,Female,24,Beauty,3,500,1500
379,2023-02-05,CUST379,Female,47,Clothing,1,25,25
396,2023-02-23,CUST396,Female,55,Beauty,1,30,30
400,2023-02-24,CUST400,Male,53,Clothing,4,50,200
416,2023-02-17,CUST416,Male,53,Electronics,4,500,2000
433,2023-02-27,CUST433,Male,29,Beauty,4,50,200
434,2023-02-08,CUST434,Female,43,Electronics,2,25,50
454,2023-02-22,CUST454,Female,46,Beauty,1,25,25
473,2023-02-25,CUST473,Male,64,Beauty,1,50,50
490,2023-02-05,CUST490,Male,34,Clothing,3,50,150
506,2023-02-25,CUST506,Male,34,Beauty,3,500,1500
530,2023-02-05,CUST530,Female,18,Electronics,4,30,120
577,2023-02-13,CUST577,Male,21,Beauty,4,500,2000
584,2023-02-17,CUST584,Female,27,Beauty,4,50,200
596,2023-02-07,CUST596,Female,64,Electronics,1,300,300
611,2023-02-24,CUST611,Male,51,Beauty,3,500,1500
649,2023-02-09,CUST649,Female,58,Clothing,2,300,600
657,2023-02-11,CUST657,Male,40,Clothing,1,25,25
666,2023-02-02,CUST666,Male,51,Electronics,3,50,150
673,2023-02-01,CUST673,Female,43,Clothing,3,500,1500
714,2023-02-12,CUST714,Female,18,Clothing,1,500,500
732,2023-02-11,CUST732,Male,61,Electronics,2,500,1000
740,2023-02-05,CUST740,Female,25,Beauty,4,50,200
753,2023-02-28,CUST753,Female,32,Clothing,1,30,30
763,2023-02-28,CUST763,Male,34,Clothing,2,25,50
766,2023-02-25,CUST766,Male,38,Electronics,3,300,900
775,2023-02-08,CUST775,Female,46,Electronics,4,25,100
780,2023-02-22,CUST780,Male,52,Electronics,2,25,50
793,2023-02-05,CUST793,Male,54,Beauty,1,30,30
800,2023-02-24,CUST800,Male,32,Clothing,4,300,1200
821,2023-02-14,CUST821,Male,49,Electronics,1,300,300
848,2023-02-13,CUST848,Female,63,Clothing,3,25,75
861,2023-02-17,CUST861,Female,41,Clothing,3,30,90
900,2023-02-21,CUST900,Male,21,Clothing,2,30,60
920,2023-02-22,CUST920,Female,28,Beauty,3,25,75
932,2023-02-28,CUST932,Female,45,Beauty,4,25,100
933,2023-02-03,CUST933,Male,22,Beauty,1,30,30
936,2023-02-07,CUST936,Male,57,Beauty,4,50,200
945,2023-02-13,CUST945,Male,30,Beauty,1,25,25
966,2023-02-20,CUST966,Male,60,Electronics,2,500,1000
972,2023-02-11,CUST972,Male,49,Beauty,4,25,100
977,2023-02-08,CUST977,Female,35,Electronics,3,25,75
993,2023-02-06,CUST993,Female,48,Electronics,3,50,150
